;optimal_profit;approximate_profit;selected_items;time_taken
knapPI_3_200_1000_1;2697;2695;[12, 20, 29, 46, 74, 76, 89, 96, 106, 113, 120, 140, 147, 157, 163, 164, 169];1.0061166286468506
knapPI_1_1000_1000_1;54503;54503;[6, 10, 12, 13, 23, 25, 32, 35, 37, 38, 48, 53, 60, 121, 134, 137, 146, 147, 151, 216, 236, 245, 249, 254, 269, 273, 281, 334, 347, 362, 373, 379, 382, 419, 421, 426, 446, 463, 469, 473, 476, 480, 493, 494, 539, 573, 585, 592, 598, 599, 603, 610, 612, 657, 669, 703, 708, 718, 732, 736, 737, 743, 751, 770, 775, 786, 822, 824, 830, 845, 849, 855, 886, 887, 914, 937, 945, 967, 984, 986, 987, 989, 992];118.16398119926453
knapPI_3_500_1000_1;7117;7117;[1, 12, 20, 26, 29, 46, 64, 74, 76, 85, 89, 96, 106, 113, 120, 147, 157, 163, 164, 169, 204, 211, 232, 233, 242, 265, 268, 271, 273, 274, 292, 294, 302, 307, 323, 343, 375, 391, 422, 423, 432, 472, 475, 479, 490, 498];16.058624267578125
knapPI_3_2000_1000_1;28919;28919;[1, 12, 20, 26, 29, 46, 64, 74, 85, 89, 96, 106, 113, 147, 157, 164, 169, 203, 204, 211, 233, 242, 265, 268, 271, 273, 274, 292, 294, 302, 307, 323, 343, 375, 391, 422, 423, 432, 472, 475, 479, 490, 498, 505, 524, 538, 546, 562, 567, 574, 583, 584, 589, 597, 605, 606, 607, 637, 655, 659, 662, 663, 665, 668, 675, 694, 721, 724, 739, 757, 758, 764, 767, 799, 833, 838, 842, 849, 851, 852, 855, 883, 895, 909, 921, 926, 938, 946, 952, 958, 959, 986, 988, 1001, 1007, 1078, 1097, 1100, 1105, 1111, 1119, 1146, 1149, 1159, 1165, 1167, 1170, 1186, 1189, 1193, 1196, 1198, 1203, 1205, 1206, 1220, 1224, 1261, 1267, 1273, 1286, 1302, 1309, 1314, 1338, 1344, 1345, 1351, 1353, 1369, 1376, 1379, 1385, 1406, 1411, 1416, 1436, 1439, 1445, 1451, 1463, 1464, 1467, 1471, 1472, 1474, 1486, 1491, 1540, 1550, 1555, 1561, 1567, 1572, 1599, 1605, 1614, 1615, 1617, 1623, 1633, 1637, 1644, 1648, 1657, 1660, 1676, 1679, 1681, 1689, 1690, 1695, 1698, 1710, 1731, 1733, 1759, 1774, 1834, 1835, 1849, 1853, 1874, 1877, 1890, 1899, 1945, 1968, 1978, 1984, 1993];1135.6354117393494
knapPI_1_200_1000_1;11238;11238;[6, 10, 23, 25, 32, 37, 38, 48, 53, 60, 121, 134, 137, 146, 147, 151];0.9493236541748047
knapPI_2_200_1000_1;1634;1634;[23, 32, 37, 53, 56, 70, 137, 159, 198];0.8597280979156494
knapPI_1_500_1000_1;28857;28857;[6, 10, 12, 13, 23, 25, 32, 37, 38, 48, 53, 60, 121, 134, 137, 146, 147, 151, 215, 216, 249, 254, 269, 273, 281, 334, 347, 362, 373, 379, 382, 419, 421, 426, 446, 463, 469, 473, 476, 480, 493, 494];13.968796968460083
knapPI_1_2000_1000_1;110625;110625;[6, 10, 13, 23, 25, 32, 37, 38, 48, 53, 60, 121, 134, 137, 146, 147, 151, 216, 236, 245, 249, 254, 269, 273, 281, 334, 347, 362, 373, 379, 382, 419, 421, 426, 446, 463, 469, 473, 476, 480, 493, 494, 539, 573, 585, 592, 599, 603, 610, 612, 657, 669, 703, 708, 718, 732, 736, 737, 743, 751, 770, 775, 786, 822, 824, 830, 845, 849, 855, 886, 887, 914, 937, 945, 967, 986, 987, 989, 992, 1003, 1031, 1034, 1043, 1048, 1057, 1096, 1099, 1103, 1114, 1117, 1137, 1138, 1143, 1158, 1168, 1239, 1246, 1248, 1260, 1272, 1298, 1322, 1333, 1343, 1344, 1353, 1361, 1394, 1400, 1403, 1419, 1431, 1441, 1457, 1463, 1466, 1472, 1473, 1475, 1483, 1485, 1507, 1532, 1544, 1545, 1548, 1549, 1567, 1591, 1604, 1615, 1617, 1630, 1638, 1654, 1664, 1666, 1667, 1672, 1690, 1692, 1696, 1716, 1724, 1729, 1731, 1825, 1861, 1864, 1873, 1882, 1890, 1900, 1904, 1915, 1919, 1953, 1954, 1989, 1997];705.5860104560852
knapPI_2_1000_1000_1;9052;9052;[23, 32, 37, 44, 53, 56, 70, 84, 109, 137, 147, 156, 159, 198, 211, 236, 245, 249, 262, 269, 289, 292, 317, 379, 397, 421, 426, 446, 452, 463, 469, 473, 479, 539, 550, 568, 573, 599, 603, 610, 643, 657, 658, 669, 708, 726, 732, 736, 743, 770, 775, 807, 827, 830, 845, 945, 967, 973, 989];108.01111650466919
knapPI_3_1000_1000_1;14390;14390;[1, 12, 20, 26, 29, 46, 64, 70, 74, 76, 85, 89, 96, 106, 113, 120, 147, 157, 163, 164, 169, 203, 204, 211, 233, 242, 265, 268, 271, 273, 274, 292, 294, 302, 307, 323, 343, 375, 384, 391, 422, 423, 432, 472, 475, 479, 483, 490, 498, 505, 524, 538, 546, 562, 567, 574, 583, 584, 597, 605, 606, 637, 659, 663, 665, 668, 675, 694, 721, 724, 739, 757, 758, 764, 767, 833, 838, 842, 849, 851, 852, 855, 883, 895, 909, 921, 926, 938, 946, 952, 958, 959, 986, 988];130.53901982307434
knapPI_2_500_1000_1;4566;4566;[23, 32, 37, 44, 53, 56, 70, 84, 137, 147, 156, 159, 198, 211, 236, 245, 249, 262, 269, 292, 397, 421, 426, 446, 463, 469, 473, 479];13.734642267227173
knapPI_3_100_1000_1;2397;2396;[1, 12, 20, 24, 26, 29, 46, 64, 72, 74, 76, 85, 89, 96];0.12257838249206543
knapPI_2_100_1000_1;1514;1512;[23, 32, 37, 44, 56, 70, 84];0.10489940643310547
knapPI_1_100_1000_1;9147;9147;[6, 10, 13, 23, 25, 30, 32, 37, 38, 48, 53, 60];0.10751628875732422
knapPI_2_2000_1000_1;18051;18051;[23, 32, 37, 44, 53, 56, 70, 84, 109, 137, 147, 156, 159, 198, 211, 236, 245, 249, 262, 269, 289, 292, 317, 379, 397, 421, 426, 446, 452, 463, 469, 473, 479, 539, 550, 568, 573, 599, 603, 610, 643, 657, 658, 669, 708, 726, 732, 736, 743, 770, 775, 807, 827, 830, 845, 935, 945, 967, 989, 1048, 1085, 1099, 1114, 1117, 1133, 1143, 1158, 1168, 1199, 1204, 1248, 1260, 1269, 1300, 1322, 1341, 1344, 1361, 1383, 1394, 1400, 1413, 1419, 1431, 1442, 1457, 1485, 1489, 1507, 1515, 1544, 1548, 1549, 1604, 1608, 1638, 1647, 1662, 1667, 1671, 1692, 1729, 1731, 1756, 1765, 1770, 1861, 1868, 1906, 1948, 1953, 1954, 1964, 1991, 1997];880.1048719882965
